Etiquetas de fila;Suma de casesMonth;Suma de deathMonth;Promedio de gdp;Promedio de extremePoverty;Promedio de cardiovascDeathRate;Promedio de diabetesPrevalence;Promedio de lifeExpectancy;Promedio de humanDevIndex
Afghanistan;49273;1971;1803,987;;597,029;9,59;64,83;0,511
Albania;48530;1003;11803,431;1,1;304,195;10,08;78,57;0,795
Algeria;92102;2596;13913,839;0,5;278,364;6,73;76,88;0,748
Andorra;7338;79;;;109,135;7,97;83,73;0,868
Angola;16188;371;5819,495;;276,045;3,94;61,15;0,581
Anguilla;10;0;;;;;81,88;
Antigua_and_Barbuda;148;4;21490,943;;191,511;13,17;77,02;0,778
Argentina;1498160;40766;18933,907;0,6;191,032;5,5;76,67;0,845
Armenia;148682;2503;8787,58;1,8;341,01;7,11;75,09;0,776
Aruba;5049;46;35973,781;;;11,62;76,29;
Australia;28031;908;44648,71;0,5;107,791;5,07;83,44;0,944
Austria;320036;4400;45436,686;0,7;145,183;6,35;81,54;0,922
Azerbaijan;175874;1922;15847,419;;559,812;7,11;73;0,756
Bahamas;7674;163;27717,847;;235,954;13,17;73,92;0,814
Bahrain;89143;348;43290,705;;151,689;16,52;77,29;0,852
Bangladesh;490533;7052;3523,984;14,8;298,003;8,38;72,59;0,632
Barbados;292;7;16978,068;;170,05;13,57;79,19;0,814
Belarus;160295;1263;17167,967;;443,129;5,18;74,79;0,823
Belgium;608001;17951;42658,576;0,2;114,898;4,29;81,63;0,931
Belize;9295;195;7824,362;;176,957;17,11;74,62;0,716
Benin;3090;44;2064,236;49,6;235,848;0,99;61,77;0,545
Bermuda;431;9;50669,315;;139,547;13;82,59;
Bhutan;438;0;8708,597;1,5;217,066;9,75;71,78;0,654
Bolivia;147150;9018;6885,829;7,1;204,299;6,89;71,51;0,718
"Bonaire; Saint Eustatius and Saba";173;3;;;;;77,79;
Bosnia_and_Herzegovina;101117;3336;11713,895;0,2;329,635;10,08;77,4;0,78
Botswana;12501;37;15807,374;;237,372;4,81;69,59;0,735
Brazil;6901952;181402;14103,452;3,4;177,961;8,11;75,88;0,765
British_Virgin_Islands;76;1;;;;13,67;79,07;
Brunei_Darussalam;152;3;71809,251;;201,285;12,79;75,86;0,838
Bulgaria;179449;5688;18563,307;1,5;424,688;5,81;75,05;0,816
Burkina_Faso;4030;71;1703,102;43,7;269,048;2,42;61,58;0,452
Burundi;729;1;702,225;71,7;293,068;6,05;61,58;0,433
Cambodia;359;0;3645,07;;270,892;4;69,82;0,594
Cameroon;25143;443;3364,926;23,8;244,661;7,2;59,29;0,563
Canada;460743;13431;44017,591;0,5;105,599;7,37;82,43;0,929
Cape_Verde;11357;110;6222,554;;182,219;2,42;72,98;0,665
Cayman_Islands;298;2;49903,029;;;13,22;83,92;
Central_African_Republic;4936;63;661,24;;435,727;6,1;53,28;0,397
Chad;1770;102;1768,153;38,4;280,995;6,1;54,24;0,398
Chile;571919;15886;22767,037;1,3;127,993;8,46;80,18;0,851
China;91994;4739;15308,712;0,7;261,899;9,74;76,91;0,761
Colombia;1425774;39053;13254,949;4,5;124,24;7,44;77,29;0,767
Comoros;628;7;1413,89;18,1;261,516;11,88;64,32;0,554
Congo;6049;99;4881,406;37;344,094;7,2;64,57;0,574
Costa_Rica;150947;1895;15524,995;1,3;137,973;8,78;80,28;0,81
Cote_dIvoire;21680;133;3601,006;28,2;303,74;2,42;57,78;0,538
Croatia;175886;2640;22669,797;0,7;253,782;5,59;78,49;0,851
Cuba;9423;137;;;190,968;8,27;78,8;0,783
Curaçao;3624;11;;;;11,62;78,88;
Cyprus;15101;78;32415,132;;141,171;9,24;80,98;0,887
Czechia;581079;9609;32605,906;;227,485;6,82;79,38;0,9
Democratic_Republic_of_the_Congo;14512;355;808,133;77,1;318,949;6,1;60,68;0,48
Denmark;109758;941;46682,515;0,2;114,767;6,41;80,9;0,94
Djibouti;5728;61;2705,406;22,5;258,037;6,05;67,11;0,524
Dominica;87;0;9673,367;;227,376;11,62;75;0,742
Dominican_Republic;154692;2361;14600,861;1,6;266,653;8,2;74,08;0,756
Ecuador;202110;13875;10581,936;3,6;140,448;5,55;77,01;0,759
